,GSM4432378,GSM4432379,GSM4432380,GSM4432381,GSM4432382,GSM4432383,GSM4432384,GSM4432385,GSM4432386,GSM4432387,GSM4432388,GSM4432389,GSM4432390,GSM4432391,GSM4432392,GSM4432393,GSM4432394,GSM4432395,GSM4432396,GSM4432397,GSM4462413,GSM4462414,GSM4462415,GSM4462416
KRT6A,10.13379973,10.16128404,10.380134,10.42486612,10.18966992,10.34667993,-6.039710216,-7.848737402,-7.848737402,-6.301412851,-6.089727145,-5.759604562,-7.848737402,-7.848737402,-4.093545101,-4.2926473,-7.848737402,-7.848737402,-7.848737402,-3.131005966,-2.114755331,-4.448454085,1.274815457,-7.848737402
KRT17,7.320259237,7.382959643,7.424566437,7.926228024,7.63130617,7.789400062,-6.867400392,-6.982971119,-5.736480979,-7.177670406,-7.695303422,-9.454313679,-5.644773472,-9.454313679,-5.699121378,-9.454313679,-9.454313679,-6.580621381,-5.737056718,-4.736582243,2.211727114,-2.319386427,-9.454313679,-9.454313679
TACSTD2,8.545387877,8.789686242,8.504372512,8.781096715,8.544759255,8.316661706,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,-7.521857151,6.25679867,2.22840144,2.600401881,4.594273749
CPLX2,-6.672517227,-5.765831781,-5.394530691,-3.632779788,-6.535053293,-7.6275328,7.474336037,7.546809317,7.557900081,7.226998131,7.396596361,7.478758775,7.85665992,7.862814877,7.210308845,7.563682598,7.794989213,7.663471566,6.01042379,6.431613504,-5.554357788,-6.637088236,2.214516481,0.576012483
KRT14,9.042378892,9.070910203,9.242656463,9.163124825,8.92620976,9.127222369,-7.45965904,-7.45965904,-7.45965904,-7.45965904,-7.45965904,-7.45965904,-5.042709235,-7.45965904,-7.45965904,-7.45965904,-7.45965904,-7.45965904,-7.45965904,-7.45965904,-2.619319107,-5.917833344,-7.45965904,-7.45965904
KRT5,11.36357257,11.39141154,11.3715993,11.2245725,11.16235659,11.20835419,-7.441254724,-7.441254724,-7.441254724,-7.441254724,-5.682244467,-7.441254724,-7.441254724,-5.546387394,-7.441254724,-7.441254724,-7.441254724,-4.567562426,-3.723997763,-7.441254724,-2.320593745,-0.935895965,-7.441254724,0.121487122
SERPINB5,7.334700859,7.27443161,7.645387984,7.064315554,7.205401885,7.258217765,-5.49741422,-7.306441406,-7.306441406,-7.306441406,-7.306441406,-5.217308567,-5.641865862,-5.411574076,-7.306441406,-3.750351304,-7.306441406,-7.306441406,-2.645099345,-1.616387356,-2.319143205,-7.306441406,-7.306441406,-7.306441406
KRT6B,4.975869729,5.016923296,5.371172059,6.686780311,6.419698364,6.642494182,-3.575707937,-7.037267555,-7.037267555,-4.278487134,-3.639651609,-7.037267555,-7.037267555,-3.842450307,-4.17900278,-7.037267555,-7.037267555,-7.037267555,-7.037267555,-2.319536119,-7.037267555,-7.037267555,-7.037267555,-7.037267555
FXYD3,7.114466964,7.199786937,7.032123178,6.926562865,6.998146547,7.038118422,-4.803811824,-7.390725111,-3.124949726,-5.84340056,-7.390725111,-7.390725111,-3.823785963,-2.720003726,-3.63553281,-7.390725111,-7.390725111,-7.390725111,-7.390725111,-7.390725111,4.156689756,3.078424018,4.90045181,3.598035351
SERPINB2,6.320611255,6.35446155,6.406158969,6.839922844,6.835675292,7.338175085,-6.839217736,-6.839217736,-6.839217736,-6.839217736,-6.839217736,-6.839217736,-6.839217736,-6.839217736,-3.980952961,-6.839217736,-6.839217736,-6.839217736,-6.839217736,-6.839217736,7.268863126,1.39500327,-6.839217736,1.568125618
IL1RN,6.594472659,6.54343334,6.438436256,6.710918222,6.728997128,6.964388617,-5.975623397,-7.784650583,-7.784650583,-6.237326032,-6.025640326,-4.875867468,-5.367700778,-7.784650583,-7.784650583,-7.784650583,-7.784650583,-7.784650583,-4.067393622,-7.784650583,6.220319599,2.966371364,11.12258602,10.98973311
HLA-C,5.644394904,5.972905457,5.813955194,6.07045078,5.723045931,5.661465873,-5.247326485,-7.056353671,-7.056353671,-7.056353671,-5.297343415,-7.056353671,-5.391778128,-5.161486341,-2.355597433,-3.500263569,-7.056353671,-7.056353671,-7.056353671,-7.056353671,10.14665741,-2.165206256,2.067199188,3.387298811
S100A14,8.023958123,7.886745699,7.984332175,7.924356687,8.034477959,7.994434817,-6.116237233,-5.36812578,-4.041209972,-5.583630866,-8.70315052,-6.61401768,-3.09598353,-3.415372078,-4.399057257,-4.209729487,-8.70315052,-8.70315052,-3.070600147,-8.70315052,3.098802752,1.565975701,-8.70315052,-0.46520111
TUBB,7.781848465,7.445823616,7.756343456,8.149900018,7.793272483,7.972932104,-6.61374217,-6.61374217,-6.61374217,-6.61374217,-6.61374217,-6.61374217,-6.61374217,-0.687379492,-6.61374217,0.991516566,-6.61374217,-6.61374217,-6.61374217,-6.61374217,8.006966073,-6.61374217,4.09304783,-6.61374217
HLA-B,4.006361648,4.222143356,3.888034623,4.777216002,4.24935926,4.298165061,-4.712173714,-4.04985834,-6.5212009,-6.5212009,-6.5212009,-6.5212009,-6.5212009,-6.5212009,-6.5212009,-6.5212009,-2.700830471,-6.5212009,-3.698223487,-6.5212009,11.25227414,7.507104286,10.65505532,10.61359312
DSG3,7.984587512,8.045399048,8.176145912,7.681820136,7.791395656,7.733352095,-6.413481866,-3.942139306,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-6.413481866,-2.227247109,-6.413481866,-6.413481866
KRT13,6.371488604,6.608295667,6.548497784,6.631307485,6.05559277,6.684492422,-6.387502315,-6.387502315,-6.387502315,-6.387502315,-6.387502315,-6.387502315,-6.387502315,-6.387502315,-3.52923754,-6.387502315,-6.387502315,-6.387502315,-3.564524902,-0.121830826,-0.495911716,-3.275384516,-6.387502315,-6.387502315
PKP1,8.080103413,8.091348789,8.126910169,7.931726091,7.85562277,7.939427213,-6.337399742,-6.337399742,-6.337399742,-6.337399742,-6.337399742,-6.337399742,-3.920449937,-6.337399742,-6.337399742,-6.337399742,-6.337399742,-6.337399742,-3.514422329,-1.619668306,3.899499942,1.144652603,-6.337399742,-0.085185159
RPS4Y1,-6.284638041,-6.284638041,-6.284638041,-6.284638041,-6.284638041,-6.284638041,4.816720511,4.681912335,4.851180188,4.711804695,4.608339404,4.717896527,6.862293533,6.928363042,6.499303258,6.873046164,5.56975456,5.375052929,6.027901787,5.869366933,7.660194809,7.212291897,6.00653888,5.717060968
S100A9,6.110759913,6.209822886,6.239472622,7.416454913,7.183615515,7.224583169,-8.449473662,-5.978131102,-8.449473662,-5.690693241,-5.421970067,-6.360340822,-1.793701534,-1.139361612,1.346083113,1.78698323,-8.449473662,-8.449473662,-8.449473662,-8.449473662,4.635158547,6.584718421,10.39430098,9.597475691
